;;;;;;;;;;;
Listado de Precios ;;;;;;;;;;;
;;;;;;;;;;;
Cliente: Sin Establecer;;;;;;;;;;;
;;;;;;;;;;;
Tipo Cliente: Sin Establecer;;;;;;;;;;;
;;;;;;;;;;;
;;;% Comunes;;;Precios Originales;;;Precios con Descuentos;;
Cod Art.;descripcion;U.V.;%I.V.A.;%S.Lis;%Bonif;N.G.;I.V.A;Final;N.G;I.V.A;Final
1406           ;Familia Gascon Malbec;GENERICA;21,00;;;326,45;68,55;395,00;326,45;68,55;395,00
5644           ;Benmarco Expresivo Blend Susana Balbo;GENERICA;21,00;;;7.800,00;1.638,00;9.438,00;7.800,00;1.638,00;9.438,00
AÑ4200         ;Piedra Negra Gran Malbec 2009;GENERICA;21,00;;;40.909,09;8.590,91;49.500,00;40.909,09;8.590,91;49.500,00
1515           ;Uxmal Cab. Sauv  Malbec;GENERICA;21,00;;;78,51;16,49;95,00;78,51;16,49;95,00
2705           ;La Flor Blend Pulenta;GENERICA;21,00;;;13.223,14;2.776,86;16.000,00;13.223,14;2.776,86;16.000,00
190            ;Puramun Reserva Malbec;GENERICA;21,00;;;768,60;161,40;930,00;768,60;161,40;930,00
401            ;Cuatro Vacas Gordas Blend;GENERICA;21,00;;;30,58;6,42;37,00;30,58;6,42;37,00
4343           ;Pyros Syrah;GENERICA;21,00;;;404,96;85,04;490,00;404,96;85,04;490,00
101            ;Renacer Malbec;GENERICA;21,00;;;24.500,83;5.145,17;29.646,00;24.500,83;5.145,17;29.646,00
7318           ;Dorado Bonarda;GENERICA;21,00;;;197,52;41,48;239,00;197,52;41,48;239,00
5704           ;Maula Pinot Noir Oak;GENERICA;21,00;;;80,99;17,01;98,00;80,99;17,01;98,00
12050          ;La Chamiza Heritage;GENERICA;21,00;;;702,48;147,52;850,00;702,48;147,52;850,00
AÑ7023         ;Mendel Unus 2013;GENERICA;21,00;;;3.388,43;711,57;4.100,00;3.388,43;711,57;4.100,00
4746           ;Las Perdices Explorarion Altamira;GENERICA;21,00;;;26.016,53;5.463,47;31.480,00;26.016,53;5.463,47;31.480,00
3326           ;Luigi Bosca Terroir Malbec;GENERICA;21,00;;;3.305,79;694,21;4.000,00;3.305,79;694,21;4.000,00
3242           ;Portillo Pinot Noir;GENERICA;21,00;;;177,69;37,31;215,00;177,69;37,31;215,00
4731           ;Rama Negra Reserva Cabernet Sauvignon;GENERICA;21,00;;;165,29;34,71;200,00;165,29;34,71;200,00
1803           ;Newen Pinot Noir;GENERICA;21,00;;;5.371,90;1.128,10;6.500,00;5.371,90;1.128,10;6.500,00
2501           ;Fabre Montmayu Malbec;GENERICA;21,00;;;123,97;26,03;150,00;123,97;26,03;150,00
12008          ;Trivento Private Malbec;GENERICA;21,00;;;9.090,91;1.909,09;11.000,00;9.090,91;1.909,09;11.000,00
12410          ;Malma Malbec;GENERICA;21,00;;;11.157,03;2.342,98;13.500,00;11.157,03;2.342,98;13.500,00
2759           ;Tapiz Alta Collection Cabernet Franc;GENERICA;21,00;;;17.190,08;3.609,92;20.800,00;17.190,08;3.609,92;20.800,00
1207           ;Argento Malbec Single Block;GENERICA;21,00;;;37.190,08;7.809,92;45.000,00;37.190,08;7.809,92;45.000,00
1226           ;Andeluna 1300 Merlot;GENERICA;21,00;;;475,21;99,79;575,00;475,21;99,79;575,00
11103          ;Juana Cabernet Franc;GENERICA;21,00;;;495,87;104,13;600,00;495,87;104,13;600,00
AÑ7020         ;Mendel Malbec 2008;GENERICA;21,00;;;3.842,98;807,02;4.650,00;3.842,98;807,02;4.650,00
7513           ;Flm Merlot;GENERICA;21,00;;;74,38;15,62;90,00;74,38;15,62;90,00
5022           ;Urraca Primera Reserva;GENERICA;21,00;;;181,82;38,18;220,00;181,82;38,18;220,00
1000           ;Altus Reserva Merlot Gualtallary;GENERICA;21,00;;;13.223,14;2.776,86;16.000,00;13.223,14;2.776,86;16.000,00
MR011          ;Antigal Aquí Malbec;GENERICA;21,00;;;7.355,37;1.544,63;8.900,00;7.355,37;1.544,63;8.900,00
5506           ;Montechez Velas de Latinoamérica;GENERICA;21,00;;;70,25;14,75;85,00;70,25;14,75;85,00
6912           ;MP Sol Fa Sol Malbec;GENERICA;21,00;;;148,76;31,24;180,00;148,76;31,24;180,00
8702           ;Montes Outer Limits Cgm;GENERICA;21,00;;;21.487,60;4.512,40;26.000,00;21.487,60;4.512,40;26.000,00
155            ;Altocedro El Turco Blend;GENERICA;21,00;;;1.322,31;277,69;1.600,00;1.322,31;277,69;1.600,00
6387           ;Fuego Blanco Flistone Malbec;GENERICA;21,00;;;18.181,82;3.818,18;22.000,00;18.181,82;3.818,18;22.000,00
12011          ;Trivento Golden Rva. Cab. Franc;GENERICA;21,00;;;15.289,26;3.210,74;18.500,00;15.289,26;3.210,74;18.500,00
3500           ;Kaiken Disobedience;GENERICA;21,00;;;29.917,36;6.282,64;36.200,00;29.917,36;6.282,64;36.200,00
102            ;Los Bocheros Cabernet Sauvignon;GENERICA;21,00;;;10.330,58;2.169,42;12.500,00;10.330,58;2.169,42;12.500,00
MW004          ;Martino Sangiovese;GENERICA;21,00;;;1.669,42;350,58;2.020,00;1.669,42;350,58;2.020,00
5672           ;Sottano Blend;GENERICA;21,00;;;189,26;39,74;229,00;189,26;39,74;229,00
2015           ;Misterio Red Blend;GENERICA;21,00;;;5.702,48;1.197,52;6.900,00;5.702,48;1.197,52;6.900,00
2756           ;Tapiz Bonarda;GENERICA;21,00;;;9.586,78;2.013,22;11.600,00;9.586,78;2.013,22;11.600,00
11205          ;Alchimia Lujo Moderno Cabernet Franc;GENERICA;21,00;;;785,12;164,88;950,00;785,12;164,88;950,00
3734           ;Nieto Reserva Mal-Petit;GENERICA;21,00;;;57,85;12,15;70,00;57,85;12,15;70,00
3904           ;Aguma Cabernet Franc;GENERICA;21,00;;;70,25;14,75;85,00;70,25;14,75;85,00
3483           ;Apalooza Malbec Alta Vista;GENERICA;21,00;;;570,25;119,75;690,00;570,25;119,75;690,00
6304           ;Lamadrid Reserva Cabernet Franc;GENERICA;21,00;;;16.363,64;3.436,36;19.800,00;16.363,64;3.436,36;19.800,00
1522           ;Uxmal Merlot;GENERICA;21,00;;;49,59;10,41;60,00;49,59;10,41;60,00
DW06           ;Kamala Malbec Ts Chacayes Dharma;GENERICA;21,00;;;15.619,84;3.280,17;18.900,00;15.619,84;3.280,17;18.900,00
YACO103        ;Coquena Tannat;GENERICA;21,00;;;8.925,62;1.874,38;10.800,00;8.925,62;1.874,38;10.800,00
2026           ;Exupery Blend Reinero;GENERICA;21,00;;;8.842,98;1.857,02;10.700,00;8.842,98;1.857,02;10.700,00
12310          ;Ferraro Wines Classic Malbec;GENERICA;21,00;;;4.462,81;937,19;5.400,00;4.462,81;937,19;5.400,00
1646           ;Textual Carmenere Zuccardi;GENERICA;21,00;;;4.958,68;1.041,32;6.000,00;4.958,68;1.041,32;6.000,00
1434           ;Circus Roble Syrah;GENERICA;21,00;;;31,41;6,60;38,00;31,41;6,60;38,00
251            ;Achaval Ferrer Quimera Blend;GENERICA;21,00;;;4.545,46;954,55;5.500,00;4.545,46;954,55;5.500,00
5901           ;Nahuel Martinez Malbec;GENERICA;21,00;;;18,18;3,82;22,00;18,18;3,82;22,00
AÑ4921         ;Tinto Negro 1955 2011;GENERICA;21,00;;;1.900,83;399,17;2.300,00;1.900,83;399,17;2.300,00
3303           ;Finca La Linda Syrah;GENERICA;21,00;;;78,51;16,49;95,00;78,51;16,49;95,00
8014           ;Secreto Malbec;GENERICA;21,00;;;137,19;28,81;166,00;137,19;28,81;166,00
3652           ;Matervini Tinto;GENERICA;21,00;;;3.404,96;715,04;4.120,00;3.404,96;715,04;4.120,00
12026          ;Trivento Reserve Cab. Sauv.;GENERICA;21,00;;;7.355,37;1.544,63;8.900,00;7.355,37;1.544,63;8.900,00
5301           ;Doña Silvina Reserva Malbec;GENERICA;21,00;;;1.487,60;312,40;1.800,00;1.487,60;312,40;1.800,00
11101          ;Viejo Isaias Elegido;GENERICA;21,00;;;743,80;156,20;900,00;743,80;156,20;900,00
9183           ;Abito Petit Verdot;GENERICA;21,00;;;14.793,39;3.106,61;17.900,00;14.793,39;3.106,61;17.900,00
8114           ;Finca La Anita Gran Corte;GENERICA;21,00;;;19.586,78;4.113,22;23.700,00;19.586,78;4.113,22;23.700,00
1606           ;Alambrado Malbec;GENERICA;21,00;;;2.809,92;590,08;3.400,00;2.809,92;590,08;3.400,00
2603           ;Gabrielli Malbec;GENERICA;21,00;;;57,85;12,15;70,00;57,85;12,15;70,00
2427           ;Las Moras Gran Syrah;GENERICA;21,00;;;6.103,31;1.281,69;7.385,00;6.103,31;1.281,69;7.385,00
7084           ;Lorca Gran Opalo Red Blend;GENERICA;21,00;;;30.330,58;6.369,42;36.700,00;30.330,58;6.369,42;36.700,00
12006          ;Trivento Golden Rva Chardonnay;GENERICA;21,00;;;15.289,26;3.210,74;18.500,00;15.289,26;3.210,74;18.500,00
AÑ6332         ;HD Malbec 2015;GENERICA;21,00;;;619,01;129,99;749,00;619,01;129,99;749,00
5801           ;Sinfonia Malbec;GENERICA;21,00;;;29,75;6,25;36,00;29,75;6,25;36,00
1341           ;Mara de Uco Merlot;GENERICA;21,00;;;10.413,22;2.186,78;12.600,00;10.413,22;2.186,78;12.600,00
4976           ;Zolo Cabernet Sauvignon;GENERICA;21,00;;;11.322,31;2.377,69;13.700,00;11.322,31;2.377,69;13.700,00
1201           ;Argento Reserve Malbec;GENERICA;21,00;;;7.933,88;1.666,12;9.600,00;7.933,88;1.666,12;9.600,00
9107           ;Bad Brother Facón Syrah A. Lanús;GENERICA;21,00;;;44.462,81;9.337,19;53.800,00;44.462,81;9.337,19;53.800,00
3415           ;Ikela Malbec;GENERICA;21,00;;;148,76;31,24;180,00;148,76;31,24;180,00
12031          ;Trivento Stratus Blend;GENERICA;21,00;;;45.454,55;9.545,45;55.000,00;45.454,55;9.545,45;55.000,00
149            ;Altocedro Malbec;GENERICA;21,00;;;661,16;138,84;800,00;661,16;138,84;800,00
5006           ;Desierto 25 Merlot;GENERICA;21,00;;;657,03;137,98;795,00;657,03;137,98;795,00
11208          ;Alchimia Malbec;GENERICA;21,00;;;322,31;67,69;390,00;322,31;67,69;390,00
AVE02          ;Kaiken Aventura Malbec Valle de Canota;GENERICA;21,00;;;34.132,23;7.167,77;41.300,00;34.132,23;7.167,77;41.300,00
11102          ;Juana Blend;GENERICA;21,00;;;727,27;152,73;880,00;727,27;152,73;880,00
6903           ;De Angeles Malbec Roble;GENERICA;21,00;;;318,18;66,82;385,00;318,18;66,82;385,00
140            ;Benegas Sv Malbec;GENERICA;21,00;;;7.809,92;1.640,08;9.450,00;7.809,92;1.640,08;9.450,00
2904           ;Canale Estate Merlot;GENERICA;21,00;;;144,63;30,37;175,00;144,63;30,37;175,00
3950           ;Budeguer 4000 Black Blend;GENERICA;21,00;;;537,19;112,81;650,00;537,19;112,81;650,00
11026          ;Domingo Hnos Reserva Tannat;GENERICA;21,00;;;3.057,85;642,15;3.700,00;3.057,85;642,15;3.700,00
3456           ;Kaiken Obertura;GENERICA;21,00;;;57.272,73;12.027,27;69.300,00;57.272,73;12.027,27;69.300,00
3309           ;Luigi Bosca Malbec D.O.C.;GENERICA;21,00;;;396,69;83,31;480,00;396,69;83,31;480,00
4922           ;Estancia Los Cardones Garnacha;GENERICA;21,00;;;1.545,46;324,55;1.870,00;1.545,46;324,55;1.870,00
4909           ;Tinto Negro Lujan;GENERICA;21,00;;;652,89;137,11;790,00;652,89;137,11;790,00
3961           ;Tucumen Cabernet Franc;GENERICA;21,00;;;8.090,91;1.699,09;9.790,00;8.090,91;1.699,09;9.790,00
3705           ;Benjamin Naturaleza;GENERICA;21,00;;;26,45;5,55;32,00;26,45;5,55;32,00
862            ;Casa Petrini Roca Volcánica;GENERICA;21,00;;;18.181,82;3.818,18;22.000,00;18.181,82;3.818,18;22.000,00
159            ;Vago Rojo;GENERICA;21,00;;;537,19;112,81;650,00;537,19;112,81;650,00
121            ;Aniello 006 Merlot;GENERICA;21,00;;;2.148,76;451,24;2.600,00;2.148,76;451,24;2.600,00
AÑ34741        ;Alta Vista Alizarine Malbec 2013;GENERICA;21,00;;;1.735,54;364,46;2.100,00;1.735,54;364,46;2.100,00
1207           ;Colonia las Liebres Bonarda;GENERICA;21,00;;;57,03;11,98;69,00;57,03;11,98;69,00
1447           ;Escorihuela Gascon Cabernet Franc;GENERICA;21,00;;;582,65;122,36;705,00;582,65;122,36;705,00
11808          ;Ricominciare Camporotondo;GENERICA;21,00;;;14.619,84;3.070,17;17.690,00;14.619,84;3.070,17;17.690,00
6333           ;Lamadrid Gran Reserva Franc;GENERICA;21,00;;;30.495,87;6.404,13;36.900,00;30.495,87;6.404,13;36.900,00
3708           ;Don nicanor  Malbec;GENERICA;21,00;;;66,12;13,88;80,00;66,12;13,88;80,00
6526           ;Joffré 4 Uvas;GENERICA;21,00;;;16.528,93;3.471,07;20.000,00;16.528,93;3.471,07;20.000,00
5209           ;Pleno Cabernet Franc Cuarto Surco;GENERICA;21,00;;;14.793,39;3.106,61;17.900,00;14.793,39;3.106,61;17.900,00
1914           ;Laborum Malbec, El Porvenir;GENERICA;21,00;;;25.619,84;5.380,17;31.000,00;25.619,84;5.380,17;31.000,00
4771           ;Chac Chac Malbec, Las Perdices;GENERICA;21,00;;;1.651,24;346,76;1.998,00;1.651,24;346,76;1.998,00
2432           ;Imago Malbec;GENERICA;21,00;;;42,98;9,02;52,00;42,98;9,02;52,00
1357           ;Callejón del Crimen Reserva Cabernet Sauvignon;GENERICA;21,00;;;13.140,50;2.759,50;15.900,00;13.140,50;2.759,50;15.900,00
3699           ;Pachamama Malbec;GENERICA;21,00;;;2.066,12;433,88;2.500,00;2.066,12;433,88;2.500,00
8418           ;Luca Syrah;GENERICA;21,00;;;1.082,65;227,36;1.310,00;1.082,65;227,36;1.310,00
1512           ;Uxmal Cabernet Sauvignon;GENERICA;21,00;;;78,51;16,49;95,00;78,51;16,49;95,00
7061           ;Foster Los Altepes;GENERICA;21,00;;;18.016,53;3.783,47;21.800,00;18.016,53;3.783,47;21.800,00
143            ;Alandes Cabernet Franc;GENERICA;21,00;;;1.818,18;381,82;2.200,00;1.818,18;381,82;2.200,00
115            ;Decero Cabernet Sauvignon;GENERICA;21,00;;;30.082,65;6.317,36;36.400,00;30.082,65;6.317,36;36.400,00
AÑ6504         ;Joffe Premium Cabernet Sauvignon 2006;GENERICA;21,00;;;5.371,90;1.128,10;6.500,00;5.371,90;1.128,10;6.500,00
11910          ;2456 Reserva Malbec;GENERICA;21,00;;;23.140,50;4.859,50;28.000,00;23.140,50;4.859,50;28.000,00
11202          ;Alchimia Gran Rva Franc;GENERICA;21,00;;;1.446,28;303,72;1.750,00;1.446,28;303,72;1.750,00
126            ;Aniello Soil Corte de Malbec;GENERICA;21,00;;;3.719,01;780,99;4.500,00;3.719,01;780,99;4.500,00
9807           ;Corazón VAliente Niven Cad. Sau;GENERICA;21,00;;;10.082,65;2.117,36;12.200,00;10.082,65;2.117,36;12.200,00
148            ;Altocedro Tempranillo;GENERICA;21,00;;;471,07;98,93;570,00;471,07;98,93;570,00
AÑ2717         ;Tapiz Cabernet Sauvignon 2015;GENERICA;21,00;;;785,12;164,88;950,00;785,12;164,88;950,00
9602           ;Albaflor Malbec;GENERICA;21,00;;;231,41;48,60;280,00;231,41;48,60;280,00
6324           ;Durigutti Bonarda;GENERICA;21,00;;;18.446,28;3.873,72;22.320,00;18.446,28;3.873,72;22.320,00
2004           ;Finca Flichman Reserva Syrah;GENERICA;21,00;;;8.264,46;1.735,54;10.000,00;8.264,46;1.735,54;10.000,00
1112           ;Umbral Cabernet Sauvignon;GENERICA;21,00;;;53,72;11,28;65,00;53,72;11,28;65,00
5511           ;Alta-Yarí Gran Corte;GENERICA;21,00;;;34.380,17;7.219,83;41.600,00;34.380,17;7.219,83;41.600,00
5646           ;Benmarco Cab. Sauv. Susana Balbo;GENERICA;21,00;;;8.246,28;1.731,72;9.978,00;8.246,28;1.731,72;9.978,00
1202           ;Argento Malbec;GENERICA;21,00;;;5.537,19;1.162,81;6.700,00;5.537,19;1.162,81;6.700,00
4331           ;Osado Malbec;GENERICA;21,00;;;239,67;50,33;290,00;239,67;50,33;290,00
4924           ;Estancia Los Cardones Tigerstone;GENERICA;21,00;;;1.545,46;324,55;1.870,00;1.545,46;324,55;1.870,00
3402           ;Alta Vista Classic Cabernet Sauvignon 2010;GENERICA;21,00;;;1.239,67;260,33;1.500,00;1.239,67;260,33;1.500,00
1235           ;Pasionado Cuatro Cepas Andeluna;GENERICA;21,00;;;3.128,10;656,90;3.785,00;3.128,10;656,90;3.785,00
6346           ;Collovati Malbec;GENERICA;21,00;;;16.623,97;3.491,03;20.115,00;16.623,97;3.491,03;20.115,00
1210           ;Las Hormigas Malbec;GENERICA;21,00;;;71,90;15,10;87,00;71,90;15,10;87,00
1109           ;Chento Cabernet Franc;GENERICA;21,00;;;16.528,93;3.471,07;20.000,00;16.528,93;3.471,07;20.000,00
AÑ7026         ;Lunta Tempranillo 2013;GENERICA;21,00;;;909,09;190,91;1.100,00;909,09;190,91;1.100,00
4704           ;Las Perdices Reserva Pinot Noir;GENERICA;21,00;;;17.314,05;3.635,95;20.950,00;17.314,05;3.635,95;20.950,00
3441           ;Punta Flechas Corte;GENERICA;21,00;;;520,66;109,34;630,00;520,66;109,34;630,00
1200           ;Argento Collection Malbec;GENERICA;21,00;;;10.578,51;2.221,49;12.800,00;10.578,51;2.221,49;12.800,00
2203           ;Humanao Blend;GENERICA;21,00;;;53,72;11,28;65,00;53,72;11,28;65,00
6339           ;Durigutti Plc Cordisco;GENERICA;21,00;;;33.388,43;7.011,57;40.400,00;33.388,43;7.011,57;40.400,00
2808           ;Monteviejo;GENERICA;21,00;;;206,61;43,39;250,00;206,61;43,39;250,00
1348           ;On The Road Pinot Noir;GENERICA;21,00;;;19.834,71;4.165,29;24.000,00;19.834,71;4.165,29;24.000,00
7069           ;Foster Firmado Malbec;GENERICA;21,00;;;76.611,57;16.088,43;92.700,00;76.611,57;16.088,43;92.700,00
3423           ;Melipal Malbec;GENERICA;21,00;;;148,76;31,24;180,00;148,76;31,24;180,00
130            ;Benegas Malbec;GENERICA;21,00;;;2.314,05;485,95;2.800,00;2.314,05;485,95;2.800,00
2352           ;Tamari Reserva Cabernet Sauvignon;GENERICA;21,00;;;42,98;9,02;52,00;42,98;9,02;52,00
1353           ;Callejón Del Crimen Gran Reserva Sangiovese;GENERICA;21,00;;;15.619,84;3.280,17;18.900,00;15.619,84;3.280,17;18.900,00
1925           ;El Porvenir Garnacha, Peq Fermentaciones;GENERICA;21,00;;;28.512,40;5.987,60;34.500,00;28.512,40;5.987,60;34.500,00
4820           ;Gran Familia Syrah G. Riili;GENERICA;21,00;;;49.586,78;10.413,22;60.000,00;49.586,78;10.413,22;60.000,00
503            ;Sin Palabras Malbec;GENERICA;21,00;;;22,31;4,69;27,00;22,31;4,69;27,00
1661           ;Alambrado Bonarda;GENERICA;21,00;;;314,05;65,95;380,00;314,05;65,95;380,00
1005           ;Amalaya Gran Corte;GENERICA;21,00;;;227,27;47,73;275,00;227,27;47,73;275,00
1509           ;Estiba I Syrah;GENERICA;21,00;;;37,19;7,81;45,00;37,19;7,81;45,00
70006          ;Estrella de Los Andes Malbec;GENERICA;21,00;;;396,69;83,31;480,00;396,69;83,31;480,00
9803           ;Criolla Argentina Niven;GENERICA;21,00;;;4.876,03;1.023,97;5.900,00;4.876,03;1.023,97;5.900,00
2735           ;Tapiz Black Tears;GENERICA;21,00;;;80.165,29;16.834,71;97.000,00;80.165,29;16.834,71;97.000,00
104            ;Tinkunaco Malbec;GENERICA;21,00;;;9.338,84;1.961,16;11.300,00;9.338,84;1.961,16;11.300,00
8210           ;D. Bousquet Malbec;GENERICA;21,00;;;1.900,83;399,17;2.300,00;1.900,83;399,17;2.300,00
6322           ;Durigutti Cabernet Sauvignon;GENERICA;21,00;;;18.446,28;3.873,72;22.320,00;18.446,28;3.873,72;22.320,00
5507           ;Alta-Yarí Reserva Malbec;GENERICA;21,00;;;6.694,22;1.405,79;8.100,00;6.694,22;1.405,79;8.100,00
7899           ;Familia Deicas Preludio Blend Tinto;GENERICA;21,00;;;38.706,61;8.128,39;46.835,00;38.706,61;8.128,39;46.835,00
630            ;Nicasia Cab. Franc Blend;GENERICA;21,00;;;326,45;68,55;395,00;326,45;68,55;395,00
5206           ;El Reparo Rva Cab. Franc Cuarto surco;GENERICA;21,00;;;1.157,03;242,98;1.400,00;1.157,03;242,98;1.400,00
7065           ;Ique Malbec Magnun Foster;GENERICA;21,00;;;1.076,03;225,97;1.302,00;1.076,03;225,97;1.302,00
CA004          ;Caelum Clasico Cabernet Sauvignon;GENERICA;21,00;;;1.322,31;277,69;1.600,00;1.322,31;277,69;1.600,00
6411           ;Via Blanca Cabernet Sauvignon;GENERICA;21,00;;;69,42;14,58;84,00;69,42;14,58;84,00
311            ;Araucal Cabernet-Tempranillo;GENERICA;21,00;;;33,06;6,94;40,00;33,06;6,94;40,00
2717           ;Tapiz Cabernet Sauvignon;GENERICA;21,00;;;11.487,60;2.412,40;13.900,00;11.487,60;2.412,40;13.900,00
1020           ;Amalaya Corte Único;GENERICA;21,00;;;276,86;58,14;335,00;276,86;58,14;335,00
BAT042         ;SERBAL Petit Verdot Atamisque;GENERICA;21,00;;;11.074,38;2.325,62;13.400,00;11.074,38;2.325,62;13.400,00
3712           ;Emilia Malbec;GENERICA;21,00;;;31,41;6,60;38,00;31,41;6,60;38,00
9136           ;Patente X Joven;GENERICA;21,00;;;7.247,93;1.522,07;8.770,00;7.247,93;1.522,07;8.770,00
AÑ6101         ;Riccitelli Republica Malbec;GENERICA;21,00;;;3.223,14;676,86;3.900,00;3.223,14;676,86;3.900,00
8220           ;Intuitivo Tupungato Malbec;GENERICA;21,00;;;388,43;81,57;470,00;388,43;81,57;470,00
3028           ;Lagarde Organic Malbec;GENERICA;21,00;;;454,55;95,45;550,00;454,55;95,45;550,00
AÑ49531        ;Quieto Malbec 2010;GENERICA;21,00;;;49.586,78;10.413,22;60.000,00;49.586,78;10.413,22;60.000,00
7705           ;Tomero S.V Syrah Vistalba;GENERICA;21,00;;;3.719,01;780,99;4.500,00;3.719,01;780,99;4.500,00
2777           ;Tapiz Reserva Cabernet Sauvignon;GENERICA;21,00;;;15.867,77;3.332,23;19.200,00;15.867,77;3.332,23;19.200,00
11706          ;Comahue Cabernet Sauvignon;GENERICA;21,00;;;2.499,17;524,83;3.024,00;2.499,17;524,83;3.024,00
4712           ;Rama Negra Reserva Merlot;GENERICA;21,00;;;185,95;39,05;225,00;185,95;39,05;225,00
2535           ;Familia Schroeder Blend Saurus;GENERICA;21,00;;;31.061,16;6.522,84;37.584,00;31.061,16;6.522,84;37.584,00
3110           ;Casona Lopez Malbec;GENERICA;21,00;;;7.851,24;1.648,76;9.500,00;7.851,24;1.648,76;9.500,00
3308           ;Luigi Bosca Malbec;GENERICA;21,00;;;1.628,10;341,90;1.970,00;1.628,10;341,90;1.970,00
4101           ;Primogenito Cabernet Sauvignon;GENERICA;21,00;;;73,55;15,45;89,00;73,55;15,45;89,00
2830           ;Mariflor Pinot Noir;GENERICA;21,00;;;1.041,32;218,68;1.260,00;1.041,32;218,68;1.260,00
6321           ;Durigutti Malbec;GENERICA;21,00;;;18.446,28;3.873,72;22.320,00;18.446,28;3.873,72;22.320,00
7044           ;Lorca Opalo Cabernet Sauvignon;GENERICA;21,00;;;14.710,74;3.089,26;17.800,00;14.710,74;3.089,26;17.800,00
1111           ;Umbral Malbec;GENERICA;21,00;;;53,72;11,28;65,00;53,72;11,28;65,00
305            ;Avena Roble  Malbec;GENERICA;21,00;;;66,12;13,88;80,00;66,12;13,88;80,00
9701           ;Sin Fin Interminable Blend Me-Pn-Sangio;GENERICA;21,00;;;14.793,39;3.106,61;17.900,00;14.793,39;3.106,61;17.900,00
1363           ;Callejón de Crimen Estate Cabernet;GENERICA;21,00;;;61,98;13,02;75,00;61,98;13,02;75,00
1010           ;Colome Malbec;GENERICA;21,00;;;396,69;83,31;480,00;396,69;83,31;480,00
3707           ;Don Nicanor  Blend;GENERICA;21,00;;;95,04;19,96;115,00;95,04;19,96;115,00
6207           ;Gouguemheim Syrah;GENERICA;21,00;;;67,77;14,23;82,00;67,77;14,23;82,00
2821           ;Samchen Malbec;GENERICA;21,00;;;190,08;39,92;230,00;190,08;39,92;230,00
3907           ;Aguma Carmenere;GENERICA;21,00;;;51,24;10,76;62,00;51,24;10,76;62,00
2532           ;Saurus Barrel Malbec;GENERICA;21,00;;;14.905,79;3.130,21;18.036,00;14.905,79;3.130,21;18.036,00
6401           ;Don Nicasio Malbec;GENERICA;21,00;;;;;;;;
9702           ;Sin Fin Interminable Blend M-Cf-Pv;GENERICA;21,00;;;14.793,39;3.106,61;17.900,00;14.793,39;3.106,61;17.900,00
1598           ;Vendimiario San Juan;GENERICA;21,00;;;818,18;171,82;990,00;818,18;171,82;990,00
105            ;Cuesta Del Madero Roble Malbec;GENERICA;21,00;;;1.611,57;338,43;1.950,00;1.611,57;338,43;1.950,00
3312           ;Gala 4;GENERICA;21,00;;;991,74;208,26;1.200,00;991,74;208,26;1.200,00
11804          ;Ricominciare Altisimo Cabernet Franc;GENERICA;21,00;;;24.231,41;5.088,60;29.320,00;24.231,41;5.088,60;29.320,00
914            ;Septima Obra Malbec;GENERICA;21,00;;;152,89;32,11;185,00;152,89;32,11;185,00
KA101          ;Kaiken Ultra Cabernet Franc;GENERICA;21,00;;;23.636,36;4.963,64;28.600,00;23.636,36;4.963,64;28.600,00
9161           ;Bonomo Montiel Cabernet Franc;GENERICA;21,00;;;3.305,79;694,21;4.000,00;3.305,79;694,21;4.000,00
3439           ;Kaiken Ultra Cabernet Sauvignon;GENERICA;21,00;;;23.636,36;4.963,64;28.600,00;23.636,36;4.963,64;28.600,00
3962           ;Tucumen Ancellota;GENERICA;21,00;;;8.090,91;1.699,09;9.790,00;8.090,91;1.699,09;9.790,00
7089           ;Lorca Inspirado Cabernet Franc;GENERICA;21,00;;;5.773,55;1.212,45;6.986,00;5.773,55;1.212,45;6.986,00
2422           ;Paz Bonarda;GENERICA;21,00;;;82,65;17,36;100,00;82,65;17,36;100,00
4718           ;505 Cabernet Sauvignon;GENERICA;21,00;;;70,25;14,75;85,00;70,25;14,75;85,00
4819           ;Gran Familia Malbec G. Riili;GENERICA;21,00;;;49.586,78;10.413,22;60.000,00;49.586,78;10.413,22;60.000,00
3418           ;Kaiken Cabernet Sauvignon;GENERICA;21,00;;;12.892,56;2.707,44;15.600,00;12.892,56;2.707,44;15.600,00
1222           ;Las Hormigas Terroir Seleccion;GENERICA;21,00;;;114,88;24,12;139,00;114,88;24,12;139,00
3205           ;Cafayate Reserva Malbec;GENERICA;21,00;;;39,67;8,33;48,00;39,67;8,33;48,00
DW03           ;Mahakala Malbec Dharma;GENERICA;21,00;;;18.925,62;3.974,38;22.900,00;18.925,62;3.974,38;22.900,00
4911           ;Tinto Negro Finca La Escuela;GENERICA;21,00;;;1.636,36;343,64;1.980,00;1.636,36;343,64;1.980,00
VTTI023        ;EL REVENTÓN LA REINA;GENERICA;21,00;;;53.719,01;11.280,99;65.000,00;53.719,01;11.280,99;65.000,00
70013          ;Pont L'Evec Cabernet Sauvignon;GENERICA;21,00;;;214,88;45,12;260,00;214,88;45,12;260,00
204            ;Ave Cesar Iulius;GENERICA;21,00;;;173,55;36,45;210,00;173,55;36,45;210,00
120858         ;Casillero Del Diablo Red Blend;GENERICA;21,00;;;6.157,03;1.292,98;7.450,00;6.157,03;1.292,98;7.450,00
